GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
0.0.1,CeglarekLopez.jackson.demo,JacksonJsonDemo,27,0,0,0,8,0,2,0,2,0
0.0.1,CeglarekLopez,Driver,81,0,0,0,15,0,2,0,2,0
0.0.1,CeglarekLopez.service,UserService,115,0,8,0,29,0,11,0,7,0
0.0.1,CeglarekLopez.service,ReimbursementService,50,0,0,0,16,0,6,0,6,0
0.0.1,CeglarekLopez.dao,ReimbursementDao,55,0,0,0,13,0,10,0,10,0
0.0.1,CeglarekLopez.dao,UserDao,75,0,0,0,20,0,9,0,9,0
0.0.1,CeglarekLopez.model,Status,122,0,16,0,6,0,19,0,11,0
0.0.1,CeglarekLopez.model,Role,122,0,16,0,6,0,19,0,11,0
0.0.1,CeglarekLopez.model,Reimbursement,361,0,42,0,13,0,46,0,25,0
0.0.1,CeglarekLopez.model,Reimbursement.ReimbursementBuilder,122,0,0,0,1,0,12,0,12,0
0.0.1,CeglarekLopez.model,Resolver,105,0,10,0,6,0,16,0,11,0
0.0.1,CeglarekLopez.model,Type,122,0,16,0,6,0,19,0,11,0
0.0.1,CeglarekLopez.model,Author.AuthorBuilder,38,0,0,0,1,0,5,0,5,0
0.0.1,CeglarekLopez.model,Type.TypeBuilder,38,0,0,0,1,0,5,0,5,0
0.0.1,CeglarekLopez.model,User,311,45,50,0,11,8,39,8,14,8
0.0.1,CeglarekLopez.model,User.UserBuilder,98,0,0,0,1,0,10,0,10,0
0.0.1,CeglarekLopez.model,Status.StatusBuilder,38,0,0,0,1,0,5,0,5,0
0.0.1,CeglarekLopez.model,Resolver.ResolverBuilder,38,0,0,0,1,0,5,0,5,0
0.0.1,CeglarekLopez.model,Role.RoleBuilder,38,0,0,0,1,0,5,0,5,0
0.0.1,CeglarekLopez.model,Author,122,0,16,0,6,0,19,0,11,0
0.0.1,CeglarekLopez.util,HibernateUtil,35,0,0,0,9,0,5,0,5,0
